video_id,Label,Description,Excerpt,Issue,Importance
dw3ZDAAy_Y0,Secure the Border,Trump promises to secure the U.S. border and stop illegal immigration.,we'll stop The Invasion on our Southern border and begin the largest domestic deportation operation in American history,Illegal immigration and border security,10
dw3ZDAAy_Y0,End Biden's Policies,Trump plans to terminate Biden's open borders policies and other initiatives.,I will terminate every open borders policy of the Biden Administration,Reversal of current administration's policies,9
dw3ZDAAy_Y0,Economic Revival,Trump aims to revive the economy by addressing inflation and energy prices.,our middle class is being crushed by Biden's crippling inflation,Economic challenges and inflation,8
dw3ZDAAy_Y0,Military Strength,Trump promises to rebuild and strengthen the U.S. military.,we rebuilt our military we got the biggest tax cuts in history,Military readiness and national defense,7
dw3ZDAAy_Y0,Energy Independence,Trump plans to achieve energy independence by drilling and utilizing domestic resources.,we're going to drill drill drill drill baby Grill,Energy policy and independence,8
dw3ZDAAy_Y0,Protect Social Security and Medicare,Trump vows to protect Social Security and Medicare from cuts.,we will always protect Social Security and Medicare for our seniors,Social welfare and senior citizens' benefits,7
dw3ZDAAy_Y0,Election Integrity,Trump promises to secure elections with measures like voter ID and paper ballots.,our goal will be one- day voting with paper ballots and voter ID,Election security and integrity,9
dw3ZDAAy_Y0,End the War in Ukraine,Trump pledges to end the war between Russia and Ukraine.,I will have the horrible war between Russia and Ukraine settled absolutely settled,International conflict resolution,8
dw3ZDAAy_Y0,Restore Law and Order,Trump aims to restore law and order in cities plagued by crime.,we're going to rebuild our cities into beacons of Hope safety and Beauty,Crime and urban safety,8
dw3ZDAAy_Y0,Support for Farmers,"Trump promises continued support for farmers, including ethanol production.",I will protect ethanol for four more years than the White House,Agricultural support and rural economy,7
dw3ZDAAy_Y0,Healthcare Reform,Trump plans to provide better healthcare options than Obamacare.,we're going to get you much better health care at a lower price,Healthcare system reform,7
dw3ZDAAy_Y0,Protect Second Amendment,Trump vows to uphold the Second Amendment rights.,I will fully uphold the Second Amendment,Gun rights and constitutional freedoms,6
hxX4Fnsrke0,Secure the Border,"Trump promises to seal the border and shut down the invasion of the country, emphasizing the need for strong border security.","""I will seal the border and I will shut down the invasion of our country. It's an invasion.""",Border security and immigration control,10
hxX4Fnsrke0,Energy Independence,Trump promises to restore energy independence by drilling and utilizing domestic energy resources.,"""Drill baby drill, we're going to drill baby drill.""",Energy independence and economic stability,9
hxX4Fnsrke0,Economic Revival,Trump promises to end Biden's inflation nightmare and rescue the economy by implementing policies that promote economic growth.,"""Starting on my first day back to the Oval Office, I will end Joe Biden's inflation nightmare, rescue our economy.""",Economic recovery and inflation control,8
hxX4Fnsrke0,Tax Cuts,Trump promises to make the Trump tax cuts permanent and cut taxes for families and farmers even more.,"""I will make the Trump tax cuts permanent and cut taxes for families and Farmers even more.""",Tax relief and economic growth,7
hxX4Fnsrke0,Deportation Operation,Trump promises to begin the largest deportation operation in American history to address illegal immigration.,"""Begin the largest deportation operation in American history.""",Illegal immigration control,8
hxX4Fnsrke0,Protect Social Security and Medicare,"Trump promises to protect Medicare and Social Security for seniors, opposing any cuts to these programs.","""Unlike Ron and Nikki, we will always protect Medicare and social security for our great seniors.""",Senior citizen welfare and entitlement programs,7
hxX4Fnsrke0,Military Strength,Trump promises to restore peace through strength and prevent World War III by projecting military power.,"""I will once again appoint great Supreme Court Justices to interpret the law as written.""",National security and military strength,9
hxX4Fnsrke0,Election Integrity,"Trump promises to secure elections by implementing paper ballots, one-day voting, and voter ID requirements.","""We will go to paper ballots, we will have one day voting and we will have a thing called voter ID.""",Election security and integrity,10
hxX4Fnsrke0,Education Reform,Trump promises to cut federal funding for schools pushing critical race theory and other inappropriate content.,"""I will sign a new executive order to cut Federal funding for any school pushing critical race Theory.""",Education and curriculum standards,6
hxX4Fnsrke0,Second Amendment Protection,"Trump promises to fully uphold the Second Amendment, ensuring the right to bear arms is protected.","""I will fully uphold the Second Amendment which is under siege by the way.""",Gun rights and Second Amendment protection,7
v1BBGNKvqBs,Secure the Border,"Trump promises to secure the U.S. border by reinstating policies from his previous administration, including building more wall and working with Mexico to control immigration.",Well we'd go right back to what we were doing again we had the safest Border in the history of our country and we're going to close up the walls you know we had 200 mies of walls we had a lot of wall built it's laying there ready to be lifted up they could have had it completed in 3 weeks and if you remember cuz I remember it it was all ready to go and they said we don't want it and they actually moved the wall away and in many cases it's very expensive stuff they it's exactly what border patrol wanted it's steel concrete and rebar it had to have spikes in it had to have it's very complicated wall it's a very expensive they sold it for 5 cents on the dollar they got rid of it I think like scrap metal and it's not even believable uh all they had to do is fill up the gaps we're going to fill up the gaps and we're going to end up actually building more we're going to work with Mexico but Mexico is not working with us right now they want to be paid a lot of money they said we want $5 billion to start talking to the United States they wouldn't never say that to me they want five the people are pouring through Mexico and they want five to talk and every time blinking goes over there or somebody goes over there it costs us a lot of money the money that we spend dealing with countries we give them billions and billions of dollars and then they don't listen to us they don't do what we say and I remember when China China respected us three years ago a lot they really respected us and uh the first meeting they had where they were lectured to by President shei and China they were we were lectured like we were children and that would never happen with me and it never did.,Immigration and Border Security,10
v1BBGNKvqBs,Economic Revival,"Trump promises to revive the economy by reversing Biden's economic policies, reducing inflation, and maintaining tax cuts.",Well first of all I think he's been a disaster as a president he's the worst president in the history of our country the happiest person around right now is Jimmy Carter I've been saying this because he looks like a brilliant president by comparison like literally brilliant by comparison to this guy there's never been anybody like him now we have another war going on in the Middle East just started up and we have our secretary of defense is sitting in a hospital room looking at his laptop that's how he's running the war like a child would look at a laptop it's disgraceful what's going on it's a disgrace and bics is the least of it but it's been a disaster for the country uh inflation's now going up again but really look at the inflation that's taken place over the last three years I was looking today Energy's up at 38% and food's up 30 32% everything's up it's not going to come down they're not going to get it down even if they got it even right now it doesn't matter the damage is all done no matter what you make no matter how much your your salary went up it's peanuts compared to when you look at these all these things they were talking about housing prices they were talking about uh rental uh if you rent an apartment anywhere the country you're up 40% and that you can't make up for that he's been a disaster as a president and we spending money hand over fist and Ukraine as an example and yet uh Europe you add it up it's a similar size economy as ours Europe is not spending anything by comparison we're in for $200 billion or they're in for $22 billion and yet it certainly affects them more than it affects us we have a thing called an ocean in between they don't have that ocean but they're not and nobody's telling them to do it I told them to spend for NATO I said you have to spend money and they said well I don't really know would you protect us I said no if you don't spend we're not going to protect you and all of a sudden billions and Bill hundreds of billions came pouring into NATO because I said that you have to ask them for the money they'll pay it if you ask them I don't think anybody is asking them but you you look at at the difference between what we're spending on Ukraine as an example and what they're spending and the only difference is nobody's asking or don't know how to ask but you really probably have to tell them this is what you're going to do and they'll do it so it's a very unfair thing very bad things are happening for our country I don't think we've ever been in danger of World War I like we are right now and I always say and I say it in every speech I will prevent World War I I know all these people I know good bad or indifferent it doesn't make any difference I know every one of them and they're not going to mess around with us we are weak we are ineffective we're left at as a country and bics is a total disaster to get back to your original question,Economy and Inflation,9
v1BBGNKvqBs,Protect Social Security and Medicare,"Trump promises to protect Social Security and Medicare from cuts, opposing plans to raise the retirement age or reduce benefits.","first of all they you've earned it I mean they've earned it they want to cut it and they also want to you know the Medicare they want to cut that and why are you doing this we have more liquid gold right under our feet we have so much wealth in this country and we don't want to do it we want to go to all electric cars so that we don't use our wealth you know China has that kind of wealth because they have the battery wealth but electric cars don't go far they're very expensive and they going to all be made in China that's why I think we had a poll just come out and we're 11 points up in Michigan because the Auto Workers and you know South Carolina way up to uh wherever you make autos because the Auto Workers understand if you go all electric you're making those cars in China they're not going to be made here they're going to be made in China and uh in addition to that you should be able to buy electric cars but you have to buy gasoline combustion you have to buy uh anything you want you shouldn't be restricting it to Electric you go to California this summer and you have blackouts and brown outs all the time and now we're supposed to they want all their cars to be on electric the problem is though with with the car uh the batteries are very somewhat expensive uh but they're really uh they can be very dangerous you know that and they can be very big they take up a lot of room like they want to go all electric trucks and half of the capacity that the truck is supposed to use for load is going to be a battery but the other problem is they just don't go far they just don't go far a truck will go 300 mil a big you know an 18wheeler go 300 mil and on gasoline you take a Peter Built or you know one of the the great uh companies that really build do great jobs uh they'll go 2,000 mil so you go 2,000 mil on diesel and the tank for the diesel is very small compared to the battery the battery to go even 3 or 400 miles is much much bigger than the tank so they're going to have to devote a lot of that and and some of the things that I stopped they want to go all electric army tanks okay the problem is they don't go far and it's a different kind of power also by the way but they don't go far you know you say what are they doing and I somewhat joke I'm trying to be sarcastic about it I say they go into obliterated a country an enemy because they want to make the atmosphere nice and safe nice and clean we want a Pure Clean atmosphere as we knock the country to Hell the whole thing is crazy and the battery is so big that to do it properly they'd have to pull a truck behind it to carry the bagger you can you believe it unbelievable so they want to do that they want to do the boat now they want to do boats they want boats to be all electric the whole thing is so crazy I call it the green new scam not the green new deal it's a green new scam terrible",Social Security and Medicare,8
v1BBGNKvqBs,End Weaponization of Justice System,"Trump promises to end the weaponization of the justice system against political opponents, claiming it undermines democracy.",and he's he's trying to dampen our enthusiasm of our movement and he's committing election interference uh and an election fraud he's he's a fraud uh no it's never happened before in the history it's happened in third world countries happens like in banana republics never happened in this country at least nothing like this and uh they go around and you see what's going on look at look at as an example because it's all coordinated look at Georgia what happened there and now that's turned into a massive Scandal where the prosecutor was getting all sorts of money I think that uh derang Jack Smith is a totally compromised prosecutor I mean he's got a bad he's got some bad stuff really bad stuff and dangerous stuff for the country but these are these are bad people they're really bad people and they've never done this before when a candidate is willing to weaponize against his political opponent you no longer really have a democracy and I think I'm doing very well with it you know it's very interesting um I don't think it's ever happened before to another candidate where something like this would happen on obviously a much smaller scale but they announced on one of the networks today that I'm leading by more than any candidate has ever LED in history now we still have to you know go go out and vote because we have to do it with facts polls don't mean anything but in the polls we have the best numbers ever I don't believe I'd have numbers as high I think I'd be leading by a lot because we did a great job you know they're going on what we did all together but I don't think I'd be leading by anywhere near as much when you see a national poll came out today 71 I have I'm at 71 Ronda San demonus is at like 9 and I think Nikki's at 9 or 10 and she may have she may be replacing him he spent you know he's gone through about $250 million and he's only gone down so there's something wrong but if they didn't weaponize I probably wouldn't be doing as well so that tells you the people understand it I got all these judges they hate me like in New York they hate me it's so you know it's radical left crazy judges they're crazy and you you take a look at what's happening you have trials and they give you a verdict before you the trial starts they gave me a verdict in New York before the trial starts I had another one I have I have to go and I said could we have a day off my wife's incredible mother this was an incredible woman my wife loves her so much a first lady her mother died and one of the most incredible people and the judge says essentially you can't go to the funeral because we're not going to give you the time so if I go to the funeral I can't be at the trial they're not going to hold up the trial now think of it there's a radical left judge Kaplan this is a radical left judge appointed by Clinton and that's the way it is the Democrats play that way the Republicans don't uh Republican judges in all fairness they want to be they they go overboard if I Point somebody they go overboard to give the other side the benefit of the doubt okay absolutely overboard whereas the Democrats if they get appointed by Obama or Biden they they're down and dirty they they say I don't care it's a whole different thing and people could say that's not true but it's totally true uh Republicans they want to go out of their way to show that they're not influenced or they're not biased or that they're fair and they're really hurting our country uh the Democrats are you just see it in New York you see these judges he gives me a verdict that I'm guilty and my lawyers go up we don't even know how has it happened the trial didn't start he knows nothing about me they don't have the facts they have the figure then they say about maralago the judge ruled it was worth $18 million but it's actually worth over a billion dollars he said $18 million and everyone says how do you get that now I'm not it's an incredible property it's just a question of what's it worth people come in it's worth a lot of money he said it was worth $18 million that's a lot of money too but in Palm Beach it's not in Palm Beach it's less than a starter house it's crazy right Palm Beach but they they make corrupt rulings in order to try and prove their case and they do it and they do it against us and the system the legal system is a mess in our country it's a mess absolutely it's a disgrace what's going on with judges and again Democrat judges especially the radical left Democrats uh say what you want I I was SC olded once by a certain Supreme Court Justice who I like and respect he said no no you have Trump judges you have Obama judges you have judges they're all judges they're all essentially the same I said I disagree with that it's just the way it is I disagree Republican judges they go out of their way and you know we have some very big uh decisions coming up like immunity as an example a president of the United States has to have immunity because if you don't have immunity every president that leaves office will be indicted by the sitting president of an opposing party when I say every most of them okay most of them they'll say oh like in the case of Obama he sends missiles in he kills a lot of civilians or the case of Biden the wall the not building it to for him not to have finish those open areas for him to allow people say well wait a minute I don't want to get indicted as soon as I leave and you you'll make some decisions in that,Justice System and Political Weaponization,9
v1BBGNKvqBs,Prevent World War III,Trump promises to prevent World War III by leveraging his relationships with world leaders and maintaining peace through strength.,I think with the closest that we've ever been and you know Joe this won't be a regular War this is not going to be as I say army tanks running back and forth shooting each other these are weapons of mass destruction the likes of which nobody's ever seen I've seen I've seen them and uh this is obliteration this is not a World War like we are used to World War I World War II were terrible horrible uh this is so much bigger than that this is you know like Annihilation and we have people that can't put two sentences together our president can't speak he can't speak a full sentence and he's negotiating with Putin and he's negotiating with President XI of China who's very tough and very smart you know I say that the media says oh you called him smart yeah he's smart he's very smart he controls 1.4 billion people with an iron fist I'd say that's smart and he's a guy who uh loves China and he's a people that love their country or certainly whether they love their country or not they want to make their country great again right like we're doing we were doing things at this country that nobody's ever seen then Co came in we did a great job with that but never got the respect for the job we did with Co nobody knew what it was all over the world it was ripping countries apart the damage China didn't I always said it came from Wuhan and it did came from Wuhan and uh it it was the Damage Done to this world $61 trillion they figure that's more than China has that's more than everybody has put together $61 trillion in damage I don't know if you've ever heard that number but that's and it's probably a relatively accurate number they you know they really put the world back many many years what they've done and uh it's so sad to see that but nobody's ever done the job you know we rebuilt the military we gave the largest tax cuts in history we gave the largest regulation Cuts in history even from a health standpoint right to try we did right to try that Space Age stuff we have the best Labs the best doctor in the world and we' have things that won't come out for four or five or six years they won't be approved and I got it done and they've been trying to get that done for 54 years I got it done and it saved thousands and thousands of lives you know nobody wanted it the health companies didn't want it the labs didn't want it the doctors didn't want it and the country didn't want it because everybody felt they were going to have liability I got everybody in a room the insurance companies didn't want it I got them in a room I said look the patient's going to sign no liability to anybody and they were willing to do that and we've saved thousands and thousands of lives and actually it's been the opposite effect some of these drugs are so good that it actually proved that they were good as opposed to you know the liability factor that the drugs drug companies were worried about so we're very proud of everything we did we're the greatest economy in the history of our country and again the biggest tax cuts in history uh and that is substantially bigger than Ronald Reagan's tax cuts and he did it now the Democrats want to have that elapse you know it expires relatively soon and there was a 5year deal it expires and if that's allowed to expire your tax your taxes are going to go up at numbers that nobody the biggest tax increase in history and it'll also be very bad for the economy of you know for the for the country you know it's interesting when I cut the taxes to that tremendous extent including for businesses everybody said oh wow it's not going to be income we take in much more income now than we did before with a higher tax rates if they allow that to expire which they'd like to do I believe I I think they have a tremendous liability because even politically why would you vote for somebody that's going to raise your taxes by 75% and that's what you're going to be doing if you vote for crooked Joe Biden and he's crooked as you can be there's never been a president more crooked than this guy if you vote for him and remember this he got a lot of money from China got got a lot of money from Ukraine they got a lot of money from Russia do you remember during the debate when I said how come you got $3.5 million from the mayor of moscow's wife and Chris Wallace wouldn't let me ask that he said well I have to stop you what is that well that's become a very big subject why did he get it and he can't answer why he got it but we have sort of a Manchurian Candidate in there he's a uh he's a guy who's very compromised in my opinion and that's why China is getting away with murder you know China now is not doing well because of my tariffs they cannot take the tariffs off because it's so much money coming into our country that they can't really justify taking the tariffs off and they were I took in hundreds of billions of dollars from China hundreds of billions no other president ever took in 10 cents and I got along great with President Chi until Co that was a step too far I couldn't do it but I have you know I had a great relationship with him but he was not thrilled with the tariffs but we took in hundred hundreds of billions of dollars think of it and no other president ever took in not 10 cents and we were really rocking and rolling and then this guy comes into office and it's so bad and we're laughing stock as a country as you know we're laughing stock all over the world very sad thank you Joe,Global Security and Peace,10
ZKQh32j9Hxg,Economic Recovery,Trump promises to reverse Biden's economic policies and restore the economy by addressing inflation and reducing government spending.,when you return to the White House what is the first thing you'll do to turn around Biden's economic nightmare well first of all I think he's been a disaster as a president... inflation's now going up again but really look at the inflation that's taken place over the last three years...,Inflation and economic downturn under Biden's administration.,9
ZKQh32j9Hxg,Tax Cuts,Trump promises to maintain his tax cuts and prevent the largest tax increase in history that would occur if Biden allows them to expire.,what would happen to our economy if Biden got his way and he allowed your Trump tax cuts to just expire well you'd have the biggest tax increase in the history of our country...,Potential expiration of Trump tax cuts leading to increased taxes.,8
ZKQh32j9Hxg,Border Security,Trump promises to restore and enhance border security by completing the wall and implementing strict immigration policies.,how do you secure the border and reverse Biden's disaster Well we'd go right back to what we were doing again we had the safest Border in the history of our country and we're going to close up the walls...,Increased illegal immigration and border insecurity under Biden.,10
ZKQh32j9Hxg,Military Strength,"Trump promises to rebuild and strengthen the military, ensuring it is led by competent leaders.",we rebuilt the military we gave the largest tax cuts in history we gave the largest regulation Cuts in history...,Perceived weakening of the military and ineffective leadership.,7
ZKQh32j9Hxg,Foreign Policy and Alliances,"Trump promises to ensure fair contributions from allies, particularly in NATO, and to prevent further international conflicts.",I told them to spend for NATO I said you have to spend money and they said well I don't really know would you protect us I said no if you don't spend we're not going to protect you...,Unfair financial burden on the US in international alliances and conflicts.,8
ZKQh32j9Hxg,Energy Independence,Trump promises to restore energy independence by utilizing domestic resources and reducing reliance on foreign oil.,we have more liquid gold right under our feet we have so much wealth in this country and we don't want to do it we want to go to all electric cars so that we don't use our wealth...,Dependence on foreign energy and the push for electric vehicles.,7
ZKQh32j9Hxg,Healthcare and Right to Try,Trump promises to continue supporting healthcare initiatives like 'Right to Try' to provide terminally ill patients access to experimental treatments.,we did right to try that Space Age St we have the best Labs the best doctors in the world and we'd have things that won't come out for four or five or six years they won't be approved and I got it done...,Limited access to experimental treatments for terminally ill patients.,6
ZKQh32j9Hxg,Election Integrity,Trump promises to address election integrity issues and ensure fair and transparent elections.,we've got to clean up our elections we've got to clean them up because we we have to clean up our borders our borders and our elections have to do it...,Concerns over election integrity and alleged fraud.,9
ZKQh32j9Hxg,Social Security and Medicare,Trump promises to protect Social Security and Medicare from cuts and ensure benefits for seniors.,when you were president you protected Social Security and Medicare for American seniors and and you promised to do so again in your second term...,Potential cuts to Social Security and Medicare benefits.,8
cOxU33lMmO0,Secure the Border,"Trump promises to seal the border and shut down the invasion of the country, emphasizing the need for strong border security.",I will seal the border and I will shut down the invasion of our country it's an invasion this isn't a normal situation this is an [Applause] Invasion thank you three years ago we had the most secure Border in US history by far we built 561 mies of border wall...,Border security and immigration control,9
cOxU33lMmO0,Energy Independence,Trump pledges to restore energy independence by promoting domestic drilling and reducing reliance on foreign energy sources.,Starting on my first day back to the Oval Office I will end Joe Biden's inflation nightmare rescue our economy and we will do one thing that's going to work very quickly and fast drill baby drill we're going to drill baby drill...,Energy independence and economic stability,8
cOxU33lMmO0,Tax Cuts,Trump promises to make the Trump tax cuts permanent and further reduce taxes for families and farmers.,I will make the Trump tax cuts permanent and cut taxes for families and Farmers even more we have a substantial uh hit coming positive hit coming we're going to reduce them even further...,Taxation and economic growth,7
cOxU33lMmO0,Election Integrity,"Trump vows to secure elections by implementing paper ballots, one-day voting, and voter ID requirements.",I will secure our elections we will go to paper ballots we will have one day voting and we will have a thing called voter ID they don't want voter Ida why would you not want voter ID only one reason because you want to cheat...,Election security and integrity,8
cOxU33lMmO0,Military Strength,Trump promises to restore peace through strength and prevent World War III by maintaining a strong military presence.,I will also take immediate action to restore peace through strength very important term peace through strength we don't have to necessarily fight and die lose our blood and lose our wealth our children our beautiful children fighting in countries that nobody ever heard of...,National security and military strength,7
cOxU33lMmO0,Deportation and Immigration Reform,Trump plans to initiate the largest deportation operation in American history to address illegal immigration.,As soon as I take the oath of office I'll terminate every open border policy of the Biden Administration and begin the largest deportation operation in American history...,Illegal immigration and national security,8
cOxU33lMmO0,Support for Farmers,"Trump pledges to continue supporting farmers, particularly through policies that benefit ethanol production.",I will protect ethanol with four more years in the White House it'll be totally protected Not only was it protected we gave you things that nobody thought were possible to get and it really has been a big Boon to ethanol and to Iowa and Nebraska...,Agricultural support and rural economy,6
cOxU33lMmO0,Education Reform,Trump promises to cut federal funding for schools pushing critical race theory and other inappropriate content.,On day one I will sign a new executive order to cut Federal funding for any school pushing critical race Theory transgender insanity and other inappropriate racial sexual or political content on our children...,Education and curriculum standards,7
cOxU33lMmO0,Second Amendment Protection,Trump vows to fully uphold the Second Amendment rights of Americans.,And I will fully uphold the Second Amendment which is under siege by which is under siege as I did for 4 years it's under siege...,Gun rights and constitutional protection,6
cOxU33lMmO0,Economic Growth,Trump aims to supercharge the economy by cutting red tape and promoting business-friendly policies.,President Trump protected our borders he cut red tape like no president has ever done before he passed the largest taxx Cuts in the history of America and he supercharged our economy...,Economic growth and deregulation,7
pYL3gjp9FC8,National Unity,"Trump promises to bring the country together, regardless of political affiliation, to address national issues.",I really think this is time now for everybody our country to come together we want to come together uh whether it's Republican or Democrat or liberal or conservative it would be so nice if we could come together and straighten out the world and straighten out the problems and straighten out all of the death and destruction that we're witnessing.,Political division and national unity,8
